Mã đơn hàng,SKU phân loại hàng,Tên sản phẩm,Số lượng,Giá gốc,Ngày đặt hàng,Trạng Thái Đơn Hàng,Người bán trợ giá,Được Shopee trợ giá
SP100051,DEMO-SKU-003,Demo product 3,3,208000,2026-05-07 00:00,Hoàn thành,0,18720
SP100052,DEMO-SKU-004,Demo product 4,3,145000,2026-04-23 00:00,Hoàn thành,17400,0
SP100053,DEMO-SKU-005,Demo product 5,1,166000,2026-05-08 00:00,Hoàn thành,0,4980
SP100054,DEMO-SKU-006,Demo product 6,3,280000,2026-04-22 00:00,Hoàn thành,33600,25200
SP100055,DEMO-SKU-007,Demo product 7,1,100000,2026-05-01 00:00,Hoàn thành,4000,3000
SP100056,DEMO-SKU-008,Demo product 8,2,143000,2026-05-04 00:00,Hoàn thành,11440,8580
SP100057,DEMO-SKU-009,Demo product 9,2,151000,2026-04-29 00:00,Hoàn thành,0,9060
SP100058,DEMO-SKU-010,Demo product 10,2,168000,2026-05-02 00:00,Hoàn thành,0,0
SP100059,DEMO-SKU-011,Demo product 11,3,75000,2026-05-07 00:00,Hoàn thành,0,0
SP100060,DEMO-SKU-000,Demo product 0,1,232000,2026-05-10 00:00,Hoàn thành,0,6960
