Transaction Date,Fee Name,Details,Seller SKU,Lazada SKU,Amount,VAT in Amount,Order No.,Order Item No.,Paid Quantity
2026-05-11,Item Price Credit,Demo product 6B,DEMO-SKU-007,LZD-0018-B,257000,19037,LZ100018,LZ100018-B,1
2026-05-11,Commission,,,,-10000,0,LZ100018,,
2026-05-15,Item Price Credit,Demo product 7A,DEMO-SKU-007,LZD-0019-A,86000,6370,LZ100019,LZ100019-A,1
2026-05-15,Item Price Credit,Demo product 7B,DEMO-SKU-008,LZD-0019-B,285000,21111,LZ100019,LZ100019-B,1
2026-05-15,Commission,,,,-17000,0,LZ100019,,
2026-05-09,Item Price Credit,Demo product 8A,DEMO-SKU-008,LZD-0020-A,252000,18666,LZ100020,LZ100020-A,1
2026-05-09,Item Price Credit,Demo product 8B,DEMO-SKU-009,LZD-0020-B,143000,10592,LZ100020,LZ100020-B,1
2026-05-09,Commission,,,,-3000,0,LZ100020,,
2026-05-09,Item Price Credit,Demo product 9A,DEMO-SKU-009,LZD-0021-A,211000,15629,LZ100021,LZ100021-A,1
2026-05-09,Item Price Credit,Demo product 9B,DEMO-SKU-010,LZD-0021-B,337000,24962,LZ100021,LZ100021-B,1
2026-05-09,Commission,,,,-9000,0,LZ100021,,
2026-05-24,Item Price Credit,Demo product 10A,DEMO-SKU-010,LZD-0022-A,226000,16740,LZ100022,LZ100022-A,1
2026-05-24,Item Price Credit,Demo product 10B,DEMO-SKU-011,LZD-0022-B,257000,19037,LZ100022,LZ100022-B,1
2026-05-24,Commission,,,,-19000,0,LZ100022,,
2026-05-17,Item Price Credit,Demo product 11A,DEMO-SKU-011,LZD-0023-A,143000,10592,LZ100023,LZ100023-A,1
2026-05-17,Item Price Credit,Demo product 11B,DEMO-SKU-000,LZD-0023-B,207000,15333,LZ100023,LZ100023-B,1
2026-05-17,Commission,,,,-11000,0,LZ100023,,
2026-05-18,Item Price Credit,Demo product 0A,DEMO-SKU-000,LZD-0024-A,289000,21407,LZ100024,LZ100024-A,1
2026-05-18,Item Price Credit,Demo product 0B,DEMO-SKU-001,LZD-0024-B,293000,21703,LZ100024,LZ100024-B,1
2026-05-18,Commission,,,,-7000,0,LZ100024,,
2026-05-25,Item Price Credit,Demo product 1A,DEMO-SKU-001,LZD-0025-A,160000,11851,LZ100025,LZ100025-A,1
2026-05-25,Item Price Credit,Demo product 1B,DEMO-SKU-002,LZD-0025-B,345000,25555,LZ100025,LZ100025-B,1
2026-05-25,Commission,,,,-10000,0,LZ100025,,
2026-05-09,Item Price Credit,Demo product 2A,DEMO-SKU-002,LZD-0026-A,300000,22222,LZ100026,LZ100026-A,1
2026-05-09,Item Price Credit,Demo product 2B,DEMO-SKU-003,LZD-0026-B,83000,6148,LZ100026,LZ100026-B,1
2026-05-09,Commission,,,,-2000,0,LZ100026,,
2026-05-19,Item Price Credit,Demo product 3A,DEMO-SKU-003,LZD-0027-A,163000,12074,LZ100027,LZ100027-A,1
2026-05-19,Item Price Credit,Demo product 3B,DEMO-SKU-004,LZD-0027-B,161000,11925,LZ100027,LZ100027-B,1
2026-05-19,Commission,,,,-6000,0,LZ100027,,
2026-05-25,Item Price Credit,Demo product 4A,DEMO-SKU-004,LZD-0028-A,348000,25777,LZ100028,LZ100028-A,1
2026-05-25,Item Price Credit,Demo product 4B,DEMO-SKU-005,LZD-0028-B,252000,18666,LZ100028,LZ100028-B,1
2026-05-25,Commission,,,,-16000,0,LZ100028,,
2026-05-22,Item Price Credit,Demo product 5A,DEMO-SKU-005,LZD-0029-A,321000,23777,LZ100029,LZ100029-A,1
2026-05-22,Item Price Credit,Demo product 5B,DEMO-SKU-006,LZD-0029-B,304000,22518,LZ100029,LZ100029-B,1
2026-05-22,Commission,,,,-15000,0,LZ100029,,
2026-05-17,Item Price Credit,Demo product 6A,DEMO-SKU-006,LZD-0030-A,228000,16888,LZ100030,LZ100030-A,1
2026-05-17,Item Price Credit,Demo product 6B,DEMO-SKU-007,LZD-0030-B,260000,19259,LZ100030,LZ100030-B,1
2026-05-17,Commission,,,,-13000,0,LZ100030,,
2026-05-19,Item Price Credit,Demo product 7A,DEMO-SKU-007,LZD-0031-A,320000,23703,LZ100031,LZ100031-A,1
2026-05-19,Item Price Credit,Demo product 7B,DEMO-SKU-008,LZD-0031-B,300000,22222,LZ100031,LZ100031-B,1
2026-05-19,Commission,,,,-6000,0,LZ100031,,
2026-05-03,Item Price Credit,Demo product 8A,DEMO-SKU-008,LZD-0032-A,137000,10148,LZ100032,LZ100032-A,1
2026-05-03,Item Price Credit,Demo product 8B,DEMO-SKU-009,LZD-0032-B,99000,7333,LZ100032,LZ100032-B,1
2026-05-03,Commission,,,,-19000,0,LZ100032,,
2026-05-06,Item Price Credit,Demo product 9A,DEMO-SKU-009,LZD-0033-A,233000,17259,LZ100033,LZ100033-A,1
2026-05-06,Item Price Credit,Demo product 9B,DEMO-SKU-010,LZD-0033-B,270000,20000,LZ100033,LZ100033-B,1
2026-05-06,Commission,,,,-8000,0,LZ100033,,
2026-05-16,Item Price Credit,Demo product 10A,DEMO-SKU-010,LZD-0034-A,250000,18518,LZ100034,LZ100034-A,1
2026-05-16,Item Price Credit,Demo product 10B,DEMO-SKU-011,LZD-0034-B,269000,19925,LZ100034,LZ100034-B,1
2026-05-16,Commission,,,,-4000,0,LZ100034,,
2026-05-25,Item Price Credit,Demo product 11A,DEMO-SKU-011,LZD-0035-A,156000,11555,LZ100035,LZ100035-A,1
2026-05-25,Item Price Credit,Demo product 11B,DEMO-SKU-000,LZD-0035-B,328000,24296,LZ100035,LZ100035-B,1
2026-05-25,Commission,,,,-18000,0,LZ100035,,
2026-05-15,Item Price Credit,Demo product 0A,DEMO-SKU-000,LZD-0036-A,159000,11777,LZ100036,LZ100036-A,1
2026-05-15,Item Price Credit,Demo product 0B,DEMO-SKU-001,LZD-0036-B,101000,7481,LZ100036,LZ100036-B,1
2026-05-15,Commission,,,,-6000,0,LZ100036,,
2026-05-14,Item Price Credit,Demo product 1A,DEMO-SKU-001,LZD-0037-A,86000,6370,LZ100037,LZ100037-A,1
2026-05-14,Item Price Credit,Demo product 1B,DEMO-SKU-002,LZD-0037-B,141000,10444,LZ100037,LZ100037-B,1
2026-05-14,Commission,,,,-10000,0,LZ100037,,
2026-05-05,Item Price Credit,Demo product 2A,DEMO-SKU-002,LZD-0038-A,172000,12740,LZ100038,LZ100038-A,1
2026-05-05,Item Price Credit,Demo product 2B,DEMO-SKU-003,LZD-0038-B,94000,6962,LZ100038,LZ100038-B,1
2026-05-05,Commission,,,,-7000,0,LZ100038,,
2026-05-10,Item Price Credit,Demo product 3A,DEMO-SKU-003,LZD-0039-A,326000,24148,LZ100039,LZ100039-A,1
2026-05-10,Item Price Credit,Demo product 3B,DEMO-SKU-004,LZD-0039-B,224000,16592,LZ100039,LZ100039-B,1
2026-05-10,Commission,,,,-13000,0,LZ100039,,
2026-05-13,Item Price Credit,Demo product 4A,DEMO-SKU-004,LZD-0040-A,140000,10370,LZ100040,LZ100040-A,1
2026-05-13,Item Price Credit,Demo product 4B,DEMO-SKU-005,LZD-0040-B,291000,21555,LZ100040,LZ100040-B,1
2026-05-13,Commission,,,,-18000,0,LZ100040,,
2026-05-04,Item Price Credit,Demo product 5A,DEMO-SKU-005,LZD-0041-A,117000,8666,LZ100041,LZ100041-A,1
2026-05-04,Item Price Credit,Demo product 5B,DEMO-SKU-006,LZD-0041-B,150000,11111,LZ100041,LZ100041-B,1
2026-05-04,Commission,,,,-2000,0,LZ100041,,
2026-05-11,Item Price Credit,Demo product 6A,DEMO-SKU-006,LZD-0042-A,178000,13185,LZ100042,LZ100042-A,1
2026-05-11,Item Price Credit,Demo product 6B,DEMO-SKU-007,LZD-0042-B,180000,13333,LZ100042,LZ100042-B,1
2026-05-11,Commission,,,,-17000,0,LZ100042,,
2026-05-11,Item Price Credit,Demo product 7A,DEMO-SKU-007,LZD-0043-A,329000,24370,LZ100043,LZ100043-A,1
2026-05-11,Item Price Credit,Demo product 7B,DEMO-SKU-008,LZD-0043-B,320000,23703,LZ100043,LZ100043-B,1
2026-05-11,Commission,,,,-5000,0,LZ100043,,
2026-05-24,Item Price Credit,Demo product 8A,DEMO-SKU-008,LZD-0044-A,76000,5629,LZ100044,LZ100044-A,1
2026-05-24,Item Price Credit,Demo product 8B,DEMO-SKU-009,LZD-0044-B,229000,16962,LZ100044,LZ100044-B,1
2026-05-24,Commission,,,,-7000,0,LZ100044,,
2026-05-11,Item Price Credit,Demo product 9A,DEMO-SKU-009,LZD-0045-A,269000,19925,LZ100045,LZ100045-A,1
2026-05-11,Item Price Credit,Demo product 9B,DEMO-SKU-010,LZD-0045-B,217000,16074,LZ100045,LZ100045-B,1
2026-05-11,Commission,,,,-9000,0,LZ100045,,
2026-05-07,Item Price Credit,Demo product 10A,DEMO-SKU-010,LZD-0046-A,262000,19407,LZ100046,LZ100046-A,1
2026-05-07,Item Price Credit,Demo product 10B,DEMO-SKU-011,LZD-0046-B,92000,6814,LZ100046,LZ100046-B,1
2026-05-07,Commission,,,,-5000,0,LZ100046,,
2026-05-21,Item Price Credit,Demo product 11A,DEMO-SKU-011,LZD-0047-A,223000,16518,LZ100047,LZ100047-A,1
2026-05-21,Item Price Credit,Demo product 11B,DEMO-SKU-000,LZD-0047-B,191000,14148,LZ100047,LZ100047-B,1
2026-05-21,Commission,,,,-19000,0,LZ100047,,
2026-05-09,Item Price Credit,Demo product 0A,DEMO-SKU-000,LZD-0048-A,107000,7925,LZ100048,LZ100048-A,1
2026-05-09,Item Price Credit,Demo product 0B,DEMO-SKU-001,LZD-0048-B,274000,20296,LZ100048,LZ100048-B,1
2026-05-09,Commission,,,,-16000,0,LZ100048,,
2026-05-13,Item Price Credit,Demo product 1A,DEMO-SKU-001,LZD-0049-A,234000,17333,LZ100049,LZ100049-A,1
2026-05-13,Item Price Credit,Demo product 1B,DEMO-SKU-002,LZD-0049-B,175000,12962,LZ100049,LZ100049-B,1
2026-05-13,Commission,,,,-9000,0,LZ100049,,
2026-05-19,Item Price Credit,Demo product 2A,DEMO-SKU-002,LZD-0050-A,285000,21111,LZ100050,LZ100050-A,1
2026-05-19,Item Price Credit,Demo product 2B,DEMO-SKU-003,LZD-0050-B,271000,20074,LZ100050,LZ100050-B,1
2026-05-19,Commission,,,,-5000,0,LZ100050,,
2026-05-24,Item Price Credit,Demo product 3A,DEMO-SKU-003,LZD-0051-A,289000,21407,LZ100051,LZ100051-A,1
2026-05-24,Item Price Credit,Demo product 3B,DEMO-SKU-004,LZD-0051-B,275000,20370,LZ100051,LZ100051-B,1
2026-05-24,Commission,,,,-15000,0,LZ100051,,
2026-05-04,Item Price Credit,Demo product 4A,DEMO-SKU-004,LZD-0052-A,186000,13777,LZ100052,LZ100052-A,1
2026-05-04,Item Price Credit,Demo product 4B,DEMO-SKU-005,LZD-0052-B,259000,19185,LZ100052,LZ100052-B,1
2026-05-04,Commission,,,,-3000,0,LZ100052,,
2026-05-04,Item Price Credit,Demo product 5A,DEMO-SKU-005,LZD-0053-A,99000,7333,LZ100053,LZ100053-A,1
2026-05-04,Item Price Credit,Demo product 5B,DEMO-SKU-006,LZD-0053-B,97000,7185,LZ100053,LZ100053-B,1
2026-05-04,Commission,,,,-12000,0,LZ100053,,
2026-05-25,Item Price Credit,Demo product 6A,DEMO-SKU-006,LZD-0054-A,60000,4444,LZ100054,LZ100054-A,1
2026-05-25,Item Price Credit,Demo product 6B,DEMO-SKU-007,LZD-0054-B,228000,16888,LZ100054,LZ100054-B,1
2026-05-25,Commission,,,,-15000,0,LZ100054,,
2026-05-17,Item Price Credit,Demo product 7A,DEMO-SKU-007,LZD-0055-A,99000,7333,LZ100055,LZ100055-A,1
2026-05-17,Item Price Credit,Demo product 7B,DEMO-SKU-008,LZD-0055-B,315000,23333,LZ100055,LZ100055-B,1
2026-05-17,Commission,,,,-7000,0,LZ100055,,
2026-05-03,Item Price Credit,Demo product 8A,DEMO-SKU-008,LZD-0056-A,99000,7333,LZ100056,LZ100056-A,1
2026-05-03,Item Price Credit,Demo product 8B,DEMO-SKU-009,LZD-0056-B,150000,11111,LZ100056,LZ100056-B,1
2026-05-03,Commission,,,,-6000,0,LZ100056,,
2026-05-07,Item Price Credit,Demo product 9A,DEMO-SKU-009,LZD-0057-A,70000,5185,LZ100057,LZ100057-A,1
2026-05-07,Item Price Credit,Demo product 9B,DEMO-SKU-010,LZD-0057-B,256000,18962,LZ100057,LZ100057-B,1
2026-05-07,Commission,,,,-12000,0,LZ100057,,
2026-05-16,Item Price Credit,Demo product 10A,DEMO-SKU-010,LZD-0058-A,141000,10444,LZ100058,LZ100058-A,1
2026-05-16,Item Price Credit,Demo product 10B,DEMO-SKU-011,LZD-0058-B,266000,19703,LZ100058,LZ100058-B,1
2026-05-16,Commission,,,,-15000,0,LZ100058,,
2026-05-13,Item Price Credit,Demo product 11A,DEMO-SKU-011,LZD-0059-A,253000,18740,LZ100059,LZ100059-A,1
2026-05-13,Item Price Credit,Demo product 11B,DEMO-SKU-000,LZD-0059-B,347000,25703,LZ100059,LZ100059-B,1
2026-05-13,Commission,,,,-9000,0,LZ100059,,
2026-05-02,Item Price Credit,Demo product 0A,DEMO-SKU-000,LZD-0060-A,97000,7185,LZ100060,LZ100060-A,1
2026-05-02,Item Price Credit,Demo product 0B,DEMO-SKU-001,LZD-0060-B,175000,12962,LZ100060,LZ100060-B,1
2026-05-02,Commission,,,,-13000,0,LZ100060,,
2026-05-21,Demo Fee Nobody Has Mapped,,,,-99000,0,LZ1UNMAPPED,,
