Transaction Date,Fee Name,Details,Seller SKU,Lazada SKU,Amount,VAT in Amount,Order No.,Order Item No.,Paid Quantity
2026-05-06,Item Price Credit,Demo product 9B,DEMO-SKU-010,LZD-0009-B,69000,5111,LZ000009,LZ000009-B,1
2026-05-06,Commission,,,,-13000,0,LZ000009,,
2026-05-12,Item Price Credit,Demo product 10A,DEMO-SKU-010,LZD-0010-A,245000,18148,LZ000010,LZ000010-A,1
2026-05-12,Item Price Credit,Demo product 10B,DEMO-SKU-011,LZD-0010-B,97000,7185,LZ000010,LZ000010-B,1
2026-05-12,Commission,,,,-12000,0,LZ000010,,
2026-05-12,Item Price Credit,Demo product 11A,DEMO-SKU-011,LZD-0011-A,340000,25185,LZ000011,LZ000011-A,1
2026-05-12,Item Price Credit,Demo product 11B,DEMO-SKU-000,LZD-0011-B,331000,24518,LZ000011,LZ000011-B,1
2026-05-12,Commission,,,,-6000,0,LZ000011,,
2026-05-24,Item Price Credit,Demo product 0A,DEMO-SKU-000,LZD-0012-A,241000,17851,LZ000012,LZ000012-A,1
2026-05-24,Item Price Credit,Demo product 0B,DEMO-SKU-001,LZD-0012-B,161000,11925,LZ000012,LZ000012-B,1
2026-05-24,Commission,,,,-7000,0,LZ000012,,
2026-05-24,Item Price Credit,Demo product 1A,DEMO-SKU-001,LZD-0013-A,102000,7555,LZ000013,LZ000013-A,1
2026-05-24,Item Price Credit,Demo product 1B,DEMO-SKU-002,LZD-0013-B,216000,16000,LZ000013,LZ000013-B,1
2026-05-24,Commission,,,,-9000,0,LZ000013,,
2026-05-10,Item Price Credit,Demo product 2A,DEMO-SKU-002,LZD-0014-A,308000,22814,LZ000014,LZ000014-A,1
2026-05-10,Item Price Credit,Demo product 2B,DEMO-SKU-003,LZD-0014-B,103000,7629,LZ000014,LZ000014-B,1
2026-05-10,Commission,,,,-13000,0,LZ000014,,
2026-05-08,Item Price Credit,Demo product 3A,DEMO-SKU-003,LZD-0015-A,333000,24666,LZ000015,LZ000015-A,1
2026-05-08,Item Price Credit,Demo product 3B,DEMO-SKU-004,LZD-0015-B,315000,23333,LZ000015,LZ000015-B,1
2026-05-08,Commission,,,,-5000,0,LZ000015,,
2026-05-08,Item Price Credit,Demo product 4A,DEMO-SKU-004,LZD-0016-A,267000,19777,LZ000016,LZ000016-A,1
2026-05-08,Item Price Credit,Demo product 4B,DEMO-SKU-005,LZD-0016-B,231000,17111,LZ000016,LZ000016-B,1
2026-05-08,Commission,,,,-16000,0,LZ000016,,
2026-05-07,Item Price Credit,Demo product 5A,DEMO-SKU-005,LZD-0017-A,108000,8000,LZ000017,LZ000017-A,1
2026-05-07,Item Price Credit,Demo product 5B,DEMO-SKU-006,LZD-0017-B,156000,11555,LZ000017,LZ000017-B,1
2026-05-07,Commission,,,,-6000,0,LZ000017,,
2026-05-15,Item Price Credit,Demo product 6A,DEMO-SKU-006,LZD-0018-A,134000,9925,LZ000018,LZ000018-A,1
2026-05-15,Item Price Credit,Demo product 6B,DEMO-SKU-007,LZD-0018-B,188000,13925,LZ000018,LZ000018-B,1
2026-05-15,Commission,,,,-16000,0,LZ000018,,
2026-05-10,Item Price Credit,Demo product 7A,DEMO-SKU-007,LZD-0019-A,346000,25629,LZ000019,LZ000019-A,1
2026-05-10,Item Price Credit,Demo product 7B,DEMO-SKU-008,LZD-0019-B,139000,10296,LZ000019,LZ000019-B,1
2026-05-10,Commission,,,,-18000,0,LZ000019,,
2026-05-08,Item Price Credit,Demo product 8A,DEMO-SKU-008,LZD-0020-A,289000,21407,LZ000020,LZ000020-A,1
2026-05-08,Item Price Credit,Demo product 8B,DEMO-SKU-009,LZD-0020-B,215000,15925,LZ000020,LZ000020-B,1
2026-05-08,Commission,,,,-8000,0,LZ000020,,
2026-05-15,Item Price Credit,Demo product 9A,DEMO-SKU-009,LZD-0021-A,195000,14444,LZ000021,LZ000021-A,1
2026-05-15,Item Price Credit,Demo product 9B,DEMO-SKU-010,LZD-0021-B,286000,21185,LZ000021,LZ000021-B,1
2026-05-15,Commission,,,,-12000,0,LZ000021,,
2026-05-13,Item Price Credit,Demo product 10A,DEMO-SKU-010,LZD-0022-A,217000,16074,LZ000022,LZ000022-A,1
2026-05-13,Item Price Credit,Demo product 10B,DEMO-SKU-011,LZD-0022-B,213000,15777,LZ000022,LZ000022-B,1
2026-05-13,Commission,,,,-13000,0,LZ000022,,
2026-05-22,Item Price Credit,Demo product 11A,DEMO-SKU-011,LZD-0023-A,161000,11925,LZ000023,LZ000023-A,1
2026-05-22,Item Price Credit,Demo product 11B,DEMO-SKU-000,LZD-0023-B,309000,22888,LZ000023,LZ000023-B,1
2026-05-22,Commission,,,,-2000,0,LZ000023,,
2026-05-03,Item Price Credit,Demo product 0A,DEMO-SKU-000,LZD-0024-A,164000,12148,LZ000024,LZ000024-A,1
2026-05-03,Item Price Credit,Demo product 0B,DEMO-SKU-001,LZD-0024-B,342000,25333,LZ000024,LZ000024-B,1
2026-05-03,Commission,,,,-14000,0,LZ000024,,
2026-05-04,Item Price Credit,Demo product 1A,DEMO-SKU-001,LZD-0025-A,168000,12444,LZ000025,LZ000025-A,1
2026-05-04,Item Price Credit,Demo product 1B,DEMO-SKU-002,LZD-0025-B,258000,19111,LZ000025,LZ000025-B,1
2026-05-04,Commission,,,,-6000,0,LZ000025,,
2026-05-05,Item Price Credit,Demo product 2A,DEMO-SKU-002,LZD-0026-A,194000,14370,LZ000026,LZ000026-A,1
2026-05-05,Item Price Credit,Demo product 2B,DEMO-SKU-003,LZD-0026-B,172000,12740,LZ000026,LZ000026-B,1
2026-05-05,Commission,,,,-18000,0,LZ000026,,
2026-05-06,Item Price Credit,Demo product 3A,DEMO-SKU-003,LZD-0027-A,122000,9037,LZ000027,LZ000027-A,1
2026-05-06,Item Price Credit,Demo product 3B,DEMO-SKU-004,LZD-0027-B,294000,21777,LZ000027,LZ000027-B,1
2026-05-06,Commission,,,,-15000,0,LZ000027,,
2026-05-17,Item Price Credit,Demo product 4A,DEMO-SKU-004,LZD-0028-A,260000,19259,LZ000028,LZ000028-A,1
2026-05-17,Item Price Credit,Demo product 4B,DEMO-SKU-005,LZD-0028-B,75000,5555,LZ000028,LZ000028-B,1
2026-05-17,Commission,,,,-3000,0,LZ000028,,
2026-05-11,Item Price Credit,Demo product 5A,DEMO-SKU-005,LZD-0029-A,280000,20740,LZ000029,LZ000029-A,1
2026-05-11,Item Price Credit,Demo product 5B,DEMO-SKU-006,LZD-0029-B,345000,25555,LZ000029,LZ000029-B,1
2026-05-11,Commission,,,,-2000,0,LZ000029,,
2026-05-19,Item Price Credit,Demo product 6A,DEMO-SKU-006,LZD-0030-A,239000,17703,LZ000030,LZ000030-A,1
2026-05-19,Item Price Credit,Demo product 6B,DEMO-SKU-007,LZD-0030-B,333000,24666,LZ000030,LZ000030-B,1
2026-05-19,Commission,,,,-18000,0,LZ000030,,
2026-05-25,Item Price Credit,Demo product 7A,DEMO-SKU-007,LZD-0031-A,212000,15703,LZ000031,LZ000031-A,1
2026-05-25,Item Price Credit,Demo product 7B,DEMO-SKU-008,LZD-0031-B,135000,10000,LZ000031,LZ000031-B,1
2026-05-25,Commission,,,,-4000,0,LZ000031,,
2026-05-21,Item Price Credit,Demo product 8A,DEMO-SKU-008,LZD-0032-A,195000,14444,LZ000032,LZ000032-A,1
2026-05-21,Item Price Credit,Demo product 8B,DEMO-SKU-009,LZD-0032-B,254000,18814,LZ000032,LZ000032-B,1
2026-05-21,Commission,,,,-6000,0,LZ000032,,
2026-05-21,Item Price Credit,Demo product 9A,DEMO-SKU-009,LZD-0033-A,152000,11259,LZ000033,LZ000033-A,1
2026-05-21,Item Price Credit,Demo product 9B,DEMO-SKU-010,LZD-0033-B,167000,12370,LZ000033,LZ000033-B,1
2026-05-21,Commission,,,,-6000,0,LZ000033,,
2026-05-05,Item Price Credit,Demo product 10A,DEMO-SKU-010,LZD-0034-A,138000,10222,LZ000034,LZ000034-A,1
2026-05-05,Item Price Credit,Demo product 10B,DEMO-SKU-011,LZD-0034-B,126000,9333,LZ000034,LZ000034-B,1
2026-05-05,Commission,,,,-9000,0,LZ000034,,
2026-05-23,Item Price Credit,Demo product 11A,DEMO-SKU-011,LZD-0035-A,163000,12074,LZ000035,LZ000035-A,1
2026-05-23,Item Price Credit,Demo product 11B,DEMO-SKU-000,LZD-0035-B,315000,23333,LZ000035,LZ000035-B,1
2026-05-23,Commission,,,,-5000,0,LZ000035,,
2026-05-02,Item Price Credit,Demo product 0A,DEMO-SKU-000,LZD-0036-A,100000,7407,LZ000036,LZ000036-A,1
2026-05-02,Item Price Credit,Demo product 0B,DEMO-SKU-001,LZD-0036-B,281000,20814,LZ000036,LZ000036-B,1
2026-05-02,Commission,,,,-10000,0,LZ000036,,
2026-05-08,Item Price Credit,Demo product 1A,DEMO-SKU-001,LZD-0037-A,320000,23703,LZ000037,LZ000037-A,1
2026-05-08,Item Price Credit,Demo product 1B,DEMO-SKU-002,LZD-0037-B,303000,22444,LZ000037,LZ000037-B,1
2026-05-08,Commission,,,,-6000,0,LZ000037,,
2026-05-11,Item Price Credit,Demo product 2A,DEMO-SKU-002,LZD-0038-A,208000,15407,LZ000038,LZ000038-A,1
2026-05-11,Item Price Credit,Demo product 2B,DEMO-SKU-003,LZD-0038-B,307000,22740,LZ000038,LZ000038-B,1
2026-05-11,Commission,,,,-6000,0,LZ000038,,
2026-05-09,Item Price Credit,Demo product 3A,DEMO-SKU-003,LZD-0039-A,183000,13555,LZ000039,LZ000039-A,1
2026-05-09,Item Price Credit,Demo product 3B,DEMO-SKU-004,LZD-0039-B,301000,22296,LZ000039,LZ000039-B,1
2026-05-09,Commission,,,,-5000,0,LZ000039,,
2026-05-20,Item Price Credit,Demo product 4A,DEMO-SKU-004,LZD-0040-A,272000,20148,LZ000040,LZ000040-A,1
2026-05-20,Item Price Credit,Demo product 4B,DEMO-SKU-005,LZD-0040-B,109000,8074,LZ000040,LZ000040-B,1
2026-05-20,Commission,,,,-6000,0,LZ000040,,
2026-05-02,Item Price Credit,Demo product 5A,DEMO-SKU-005,LZD-0041-A,86000,6370,LZ000041,LZ000041-A,1
2026-05-02,Item Price Credit,Demo product 5B,DEMO-SKU-006,LZD-0041-B,264000,19555,LZ000041,LZ000041-B,1
2026-05-02,Commission,,,,-13000,0,LZ000041,,
2026-05-21,Item Price Credit,Demo product 6A,DEMO-SKU-006,LZD-0042-A,266000,19703,LZ000042,LZ000042-A,1
2026-05-21,Item Price Credit,Demo product 6B,DEMO-SKU-007,LZD-0042-B,328000,24296,LZ000042,LZ000042-B,1
2026-05-21,Commission,,,,-16000,0,LZ000042,,
2026-05-12,Item Price Credit,Demo product 7A,DEMO-SKU-007,LZD-0043-A,241000,17851,LZ000043,LZ000043-A,1
2026-05-12,Item Price Credit,Demo product 7B,DEMO-SKU-008,LZD-0043-B,190000,14074,LZ000043,LZ000043-B,1
2026-05-12,Commission,,,,-14000,0,LZ000043,,
2026-05-18,Item Price Credit,Demo product 8A,DEMO-SKU-008,LZD-0044-A,102000,7555,LZ000044,LZ000044-A,1
2026-05-18,Item Price Credit,Demo product 8B,DEMO-SKU-009,LZD-0044-B,72000,5333,LZ000044,LZ000044-B,1
2026-05-18,Commission,,,,-18000,0,LZ000044,,
2026-05-15,Item Price Credit,Demo product 9A,DEMO-SKU-009,LZD-0045-A,211000,15629,LZ000045,LZ000045-A,1
2026-05-15,Item Price Credit,Demo product 9B,DEMO-SKU-010,LZD-0045-B,131000,9703,LZ000045,LZ000045-B,1
2026-05-15,Commission,,,,-18000,0,LZ000045,,
2026-05-17,Item Price Credit,Demo product 10A,DEMO-SKU-010,LZD-0046-A,280000,20740,LZ000046,LZ000046-A,1
2026-05-17,Item Price Credit,Demo product 10B,DEMO-SKU-011,LZD-0046-B,140000,10370,LZ000046,LZ000046-B,1
2026-05-17,Commission,,,,-10000,0,LZ000046,,
2026-05-14,Item Price Credit,Demo product 11A,DEMO-SKU-011,LZD-0047-A,182000,13481,LZ000047,LZ000047-A,1
2026-05-14,Item Price Credit,Demo product 11B,DEMO-SKU-000,LZD-0047-B,111000,8222,LZ000047,LZ000047-B,1
2026-05-14,Commission,,,,-2000,0,LZ000047,,
2026-05-05,Item Price Credit,Demo product 0A,DEMO-SKU-000,LZD-0048-A,161000,11925,LZ000048,LZ000048-A,1
2026-05-05,Item Price Credit,Demo product 0B,DEMO-SKU-001,LZD-0048-B,95000,7037,LZ000048,LZ000048-B,1
2026-05-05,Commission,,,,-9000,0,LZ000048,,
2026-05-20,Item Price Credit,Demo product 1A,DEMO-SKU-001,LZD-0049-A,134000,9925,LZ000049,LZ000049-A,1
2026-05-20,Item Price Credit,Demo product 1B,DEMO-SKU-002,LZD-0049-B,325000,24074,LZ000049,LZ000049-B,1
2026-05-20,Commission,,,,-19000,0,LZ000049,,
2026-05-08,Item Price Credit,Demo product 2A,DEMO-SKU-002,LZD-0050-A,266000,19703,LZ000050,LZ000050-A,1
2026-05-08,Item Price Credit,Demo product 2B,DEMO-SKU-003,LZD-0050-B,346000,25629,LZ000050,LZ000050-B,1
2026-05-08,Commission,,,,-12000,0,LZ000050,,
2026-05-13,Item Price Credit,Demo product 3A,DEMO-SKU-003,LZD-0051-A,328000,24296,LZ000051,LZ000051-A,1
2026-05-13,Item Price Credit,Demo product 3B,DEMO-SKU-004,LZD-0051-B,154000,11407,LZ000051,LZ000051-B,1
2026-05-13,Commission,,,,-6000,0,LZ000051,,
2026-05-08,Item Price Credit,Demo product 4A,DEMO-SKU-004,LZD-0052-A,194000,14370,LZ000052,LZ000052-A,1
2026-05-08,Item Price Credit,Demo product 4B,DEMO-SKU-005,LZD-0052-B,238000,17629,LZ000052,LZ000052-B,1
2026-05-08,Commission,,,,-7000,0,LZ000052,,
2026-05-02,Item Price Credit,Demo product 5A,DEMO-SKU-005,LZD-0053-A,125000,9259,LZ000053,LZ000053-A,1
2026-05-02,Item Price Credit,Demo product 5B,DEMO-SKU-006,LZD-0053-B,348000,25777,LZ000053,LZ000053-B,1
2026-05-02,Commission,,,,-16000,0,LZ000053,,
2026-05-15,Item Price Credit,Demo product 6A,DEMO-SKU-006,LZD-0054-A,194000,14370,LZ000054,LZ000054-A,1
2026-05-15,Item Price Credit,Demo product 6B,DEMO-SKU-007,LZD-0054-B,251000,18592,LZ000054,LZ000054-B,1
2026-05-15,Commission,,,,-12000,0,LZ000054,,
2026-05-07,Item Price Credit,Demo product 7A,DEMO-SKU-007,LZD-0055-A,116000,8592,LZ000055,LZ000055-A,1
2026-05-07,Item Price Credit,Demo product 7B,DEMO-SKU-008,LZD-0055-B,157000,11629,LZ000055,LZ000055-B,1
2026-05-07,Commission,,,,-7000,0,LZ000055,,
2026-05-03,Item Price Credit,Demo product 8A,DEMO-SKU-008,LZD-0056-A,95000,7037,LZ000056,LZ000056-A,1
2026-05-03,Item Price Credit,Demo product 8B,DEMO-SKU-009,LZD-0056-B,60000,4444,LZ000056,LZ000056-B,1
2026-05-03,Commission,,,,-5000,0,LZ000056,,
2026-05-09,Item Price Credit,Demo product 9A,DEMO-SKU-009,LZD-0057-A,157000,11629,LZ000057,LZ000057-A,1
2026-05-09,Item Price Credit,Demo product 9B,DEMO-SKU-010,LZD-0057-B,302000,22370,LZ000057,LZ000057-B,1
2026-05-09,Commission,,,,-2000,0,LZ000057,,
2026-05-08,Item Price Credit,Demo product 10A,DEMO-SKU-010,LZD-0058-A,159000,11777,LZ000058,LZ000058-A,1
2026-05-08,Item Price Credit,Demo product 10B,DEMO-SKU-011,LZD-0058-B,146000,10814,LZ000058,LZ000058-B,1
2026-05-08,Commission,,,,-7000,0,LZ000058,,
2026-05-25,Item Price Credit,Demo product 11A,DEMO-SKU-011,LZD-0059-A,202000,14962,LZ000059,LZ000059-A,1
2026-05-25,Item Price Credit,Demo product 11B,DEMO-SKU-000,LZD-0059-B,295000,21851,LZ000059,LZ000059-B,1
2026-05-25,Commission,,,,-16000,0,LZ000059,,
2026-05-11,Item Price Credit,Demo product 0A,DEMO-SKU-000,LZD-0060-A,207000,15333,LZ000060,LZ000060-A,1
2026-05-11,Item Price Credit,Demo product 0B,DEMO-SKU-001,LZD-0060-B,127000,9407,LZ000060,LZ000060-B,1
2026-05-11,Commission,,,,-4000,0,LZ000060,,
2026-05-21,Demo Fee Nobody Has Mapped,,,,-99000,0,LZ0UNMAPPED,,
