Order/adjustment ID,Type,Order created time,Order settled time,Total Revenue,Total settlement amount,Customer refund,Subtotal after seller discounts,Subtotal before discounts,Refund subtotal after seller discounts,Refund subtotal before seller discounts
TT000040,Order,2026/05/10 00:00:00,2026/05/12 00:00:00,787700,693176,0,787700,787700,0,0
TT000041,Order,2026/04/21 00:00:00,2026/04/26 00:00:00,1064700,936936,0,1064700,1064700,0,0
TT000042,Order,2026/05/07 00:00:00,2026/05/10 00:00:00,1338100,1177528,0,1338100,1338100,0,0
TT000043,Order,2026/05/02 00:00:00,2026/05/03 00:00:00,0,0,0,364800,364800,-364800,-364800
TT000044,Order,2026/04/30 00:00:00,2026/05/03 00:00:00,0,0,0,726900,726900,-726900,-726900
TT000045,Order,2026/05/08 00:00:00,2026/05/12 00:00:00,1138800,1002144,0,1138800,1138800,0,0
TT000046,Order,2026/05/05 00:00:00,2026/05/06 00:00:00,369000,324720,0,369000,369000,0,0
TT000047,Order,2026/05/14 00:00:00,2026/05/17 00:00:00,0,0,0,205200,205200,-205200,-205200
TT000048,Order,2026/05/14 00:00:00,2026/05/17 00:00:00,1149000,1011120,0,1149000,1149000,0,0
TT000049,Order,2026/05/12 00:00:00,2026/05/13 00:00:00,510000,448800,0,510000,510000,0,0
TT000050,Order,2026/04/25 00:00:00,2026/04/29 00:00:00,180500,158840,0,180500,180500,0,0
TT000051,Order,2026/04/30 00:00:00,2026/05/04 00:00:00,510100,448888,0,510100,510100,0,0
TT000052,Order,2026/05/08 00:00:00,2026/05/12 00:00:00,0,0,0,446400,446400,-446400,-446400
TT000053,Order,2026/05/02 00:00:00,2026/05/05 00:00:00,1169000,1028720,0,1169000,1169000,0,0
TT000054,Order,2026/05/07 00:00:00,2026/05/12 00:00:00,681000,599280,0,681000,681000,0,0
TT000055,Order,2026/05/15 00:00:00,2026/05/16 00:00:00,706800,621984,0,706800,706800,0,0
TT000056,Order,2026/05/14 00:00:00,2026/05/17 00:00:00,0,0,0,724500,724500,-724500,-724500
TT000057,Order,2026/05/08 00:00:00,2026/05/13 00:00:00,457800,402864,0,457800,457800,0,0
TT000058,Order,2026/04/17 00:00:00,2026/04/21 00:00:00,1363600,1199968,0,1363600,1363600,0,0
TT000059,Order,2026/05/11 00:00:00,2026/05/12 00:00:00,1297300,1141624,0,1297300,1297300,0,0
TT000060,Order,2026/05/10 00:00:00,2026/05/15 00:00:00,88350,77748,0,88350,88350,0,0
TT0GHOST0,Order,2026/05/07 00:00:00,2026/05/09 00:00:00,1200000,1050000,0,1200000,1200000,0,0
TT0GHOST1,Order,2026/05/08 00:00:00,2026/05/10 00:00:00,1200000,1050000,0,1200000,1200000,0,0
