sku,rate
8934707028574,1.08
8934707028598,1.08
8934707028611,1.08
8888086010302,1.08
8934707028727,1.08
8934707028765,1.08
8934707029168,1.08
8934707029182,1.08
8934707029175,1.08
8934707029441,1.08
8934707029434,1.08
8934707029137,1.08
8934707029342,1.08
8934707029366,1.08
8934707011002_KNO6_0103,1.08
8934707010944_KNO6_0104,1.08
8934707010982_KNO6_0105,1.08
8934707011972_KNO5_0106,1.08
8851932380393_KNO2_0136,1.08
8934707011644_KNO6_0183,1.08
8934707011040_KNO2_0199,1.08
8934707012085_KNO2_0258,1.08
8934707011040_KNO10_0266,1.08
8934707012078_KNO2_0315,1.08
8934707012085_KNO2_0316,1.08
8934707012122_KNO5_0470,1.08
8934707027478_KNO1_0506,1.08
8934707027478_KNO1_0545,1.08
8934707027874_LTN2_0571,1.08
8934707027898_LTN2_0572,1.08
8934707027881_LTN2_0573,1.08
8934707027737_KNO2_0574,1.08
8934707027478_KNO2_0575,1.08
8934868135647_LTN2_0576,1.08
8934868135654_LTN2_0577,1.08
8934868133735_LTN2_0642,1.08
8934868134138_LTN2_0643,1.08
8934868133742_LTN2_0644,1.08
8934707012122_KNO2_0804,1.08
8934707028611_LTN1_0851,1.08
8934707028611_LTN1_0855,1.08
8934707028598_LTN2_0868,1.08
8934707027874_LTN3_0933,1.08
8934707027898_LTN3_0934,1.08
8934868135647_LTN3_0935,1.08
8934707027874_LTN1_0936,1.08
8934868135654_LTN3_1020,1.08
8934707027881_LTN3_1021,1.08
8934868133735_LTN1_1260,1.08
8934868133735_LTN3_1261,1.08
8934707027898_LTN3_1262,1.08
8934868135647_LTN3_1263,1.08
MER00001G,1.08
710079,1.08
2000000000608,1.08
8934839129576_PSU1_1475,1.08
R22SW-Blk3,1.08
R22PU-Stealth,1.08
R22PU-Black,1.08
MER00009G,1.08
14901301419191,1.08
14901301425932,1.08
4901301425898,1.08
4901301425898V09,1.08
4901301425935,1.08
4901301425881,1.08
4901301425874V07,1.08
14901301425925,1.08
4901301425928,1.08
SAN00001SV01,1.08
SAN00001SV02,1.08
SAN00001S,1.08
SAN00002S,1.08
SAN00002SV01,1.08
SAN00002SV02,1.08
8934839133504,1.08
14901301419269,1.08
4901301418982V02,1.08
4901301418982,1.08
14901301419207,1.08
14901301419214,1.08
4901301425881V08,1.08
4901301425874,1.08
14901301419221,1.08
8992727007580_MRI2,1.08
4901301418999V03,1.08
4901301418999,1.08
4901301418975,1.08
4901301418975V01,1.08
8934839129576_PSU1_1547,1.08
8934839132835_PSU2_1533,1.08
2000000000778,1.08
KAO00030G,1.08
8992727006453_MRI3,1.08
8992727007580_MRI3,1.08
4901301418579V06,1.08
8934839133603,1.08
8934839134198,1.08
8934839133627,1.08
8934839133610,1.08
8934839132811_PSU2_1532,1.08
8934712701578,1.08
8934712701585,1.08
8934712701578V02,1.08
8934712701578V01,1.08
8934712701585V01,1.08
14901301425871,1.08
14901301425888,1.08
14901301418576,1.08
4901301420381P01,1.08
4901301418975P01,1.08
14901301425895,1.08
14901301425918,1.08
8992727006422_MRI2,1.08
8992727006453_MRI2,1.08
8992727007320_MRI2,1.08
8992727007320,1.08
14901301423266,1.08
4901301418982P01,1.08
4901301418999P01,1.08
4901301420312P01,1.08
4901301425911,1.08
14901301419238,1.08
4901301418579,1.08
14901301419009,1.08
4901301419002,1.08
8934712701004P01,1.08
4901301420381V05,1.08
4901301420381,1.08
4901301423269,1.08
14901301419252,1.08
MRC00118G,1.08
MRC00117G,1.08
8934712701103V05,1.08
4901301420312V04,1.08
8992727007320_MRI3,1.08
8934712701103V06,1.08
8934712701103,1.08
8992727006422_MRI3,1.08
8992727006453,1.08
8934712701004V02,1.08
8992727007580,1.08
4904746149480,1.08
4904746149497,1.08
4904746149503,1.08
4904746149510,1.08
4904746149527,1.08
4904746149534,1.08
4904746149541,1.08
4904746149558,1.08
4904746149565,1.08
4904746299482,1.08
4904746299789,1.08
4904746300089,1.08
4904746299185,1.08
4904746298881,1.08
4904746298584,1.08
4904746138538,1.08
4904746298188,1.08
4904746297983,1.08
4904746078902,1.08
4904746078919,1.08
4904746080332,1.08
4904746080356,1.08
4904746066749,1.08
4904746066763,1.08
4904746069665,1.08
4904746069689,1.08
4904746138422,1.08
4904746138439,1.08
4904746139856,1.08
4904746139863,1.08
4904746078049,1.08
4904746074829,1.08
4904746074836,1.08
4904746078094,1.08
4904746082237,1.08
4904746082282,1.08
4904746082336,1.08
4904746070364,1.08
4904746699480,1.08
4904746148629,1.08
4904746147257,1.08
4904746132185,1.08
4904746132215,1.08
4904746132246,1.08
4904746132277,1.08
4904746132307,1.08
4904746132314,1.08
4904746128348,1.08
4904746128379,1.08
4904746128409,1.08
4904746127266,1.08
4904746127273,1.08
4904746127310,1.08
4904746127327,1.08
4904746127365,1.08
4904746127372,1.08
4904746118448,1.08
4904746118479,1.08
4904746118493,1.08
4904746118516,1.08
4904746119001,1.08
4904746119018,1.08
4904746119025,1.08
4904746143303,1.08
4904746143310,1.08
4904746143327,1.08
4904746148285,1.08
4904746148292,1.08
4904746148308,1.08
4904746148315,1.08
SAN00015GV,1.08
6908594419151,1.08
6908594431177,1.08
8888336008073,1.08
8936123411343V01,1.08
8936123411343,1.08
8936123411343V19,1.08
8934712701004V03,1.08
8936123411343V02,1.08
4901301420312,1.08
8851818129696P01,1.08
6908594427538P01,1.08
8851818188242P01,1.08
8851818188228P01,1.08
8851818070837P02,1.08
8851818070806P01,1.08
8851818707962P02,1.08
8851818708266P01,1.08
4901301282743P01,1.08
6908594414484,1.08
8936123411343V10,1.08
6908594414491P01,1.08
8992727007320P02,1.08
8992727006453P02,1.08
8992727007580P02,1.08
14901301442953,1.08
8934839133689X3,1.08
8934839132866_PSU2_1534,1.08
8934839132835_PSU4_1823,1.08
8934839125905X3,1.08
8934839134617_PSU1_2048,1.08
8934839134617_PSU2_2041,1.08
8934839134631_PSU2_2040,1.08
4901301442956,1.08
8934839134594_PSU1_1931,1.08
8934839134594_PSU2_1863,1.08
8934839133689_CLU8_1835,1.08
8934839133689_CLU3_1833,1.08
8934839134594_PSU8934839128081X3_2094,1.08
8851818205789P01,1.08
4901301282750P01,1.08
8936123411343V14,1.08
8936123411343V15,1.08
14901301418989,1.08
8934839134617_PSU3_2043,1.08
8934839133689_CLU6_1834,1.08
8992727007580P01,1.08
KAO00002P,1.08
KAO00001P,1.08
8936123411343V11,1.08
14901301442960,1.08
4901301442963,1.08
14901301418996,1.08
4901301442918V10,1.08
9355465008537,1.08
OFS000014G,1.08
9355465008346,1.08
9355465008193,1.08
OFS00008G,1.08
9355465008155,1.08
9355465000494,1.08
9355465000487,1.08
9355465008551,1.08
OFS000012G,1.08
OFS00009G,1.08
9355465008711,1.08
9355465008568,1.08
OFS000015G,1.08
9355465008544,1.08
OFS000013G,1.08
9355465008582,1.08
9355465008759,1.08
9355465008193,1.08
9355465008759,1.08
9355465008155,1.08
OFS000015G,1.08
OFS000014G,1.08
9355465008346,1.08
9355465008605,1.08
9355465008520,1.08
9355465009121,1.08
OFS00008G,1.08
9355465008759,1.08
8992727007320P01,1.08
14901301442915,1.08
9355465009138,1.08
8851818708266,1.08
8851818070806,1.08
14901301442977,1.08
8934839134594_PSU4_1865,1.08
8934839134631_PSU3_2042,1.08
8934839134594_PSU3_1864,1.08
8934839134631_PSU4_2044,1.08
SAN00090V,1.08
8934839134617_PSU4_2045,1.08
4904746148285P01,1.08
MRC00267V,1.08
MRC00266V,1.08
MRC00273V,1.08
MRC00278V,1.08
SAN00008V,1.08
KAO00010P,1.08
OFS00003VG,1.08
MRC00055P,1.08
MRC00271V,1.08
9355465008773,1.08
OFS000010G,1.08
MRC00061P,1.08
MRC00058P,1.08
MRC00269V,1.08
MRC00272V,1.08
MRC00270V,1.08
MRC00056P,1.08
KAO00011P,1.08
4901301442970,1.08
4901301442918,1.08
KAO00009P,1.08
8934839135119,1.08
8934839127381,1.08
8934839127404,1.08
8934839133511,1.08
8934839127404_PSU2_1456,1.08
8934839127398_PSU2_1455,1.08
8934839127381_PSU2_1454,1.08
8934839133498,1.08
8934839134617_PSU8934839128081X3_2095,1.08
SAN00007V,1.08
4904746070159,1.08
4904746070142,1.08
MRC00059P,1.08
6914973203884,1.08
MAR00003P,1.08
MAR00005V,1.08
MAR00006V,1.08
