fee_name,bucket,status
Adjustments Campaign Fee,6.CP co Invoice,exp
Strategic Seller Program Participation Fee,7.CP no Invoice,exp
Order Processing Fee,6.CP co Invoice,exp
Voucher Max,6.CP co Invoice,exp
Order Processing Fee - correction for undercharge,6.CP co Invoice,exp
Reversal Voucher Max,6.CP co Invoice,exp
Freeship Max Fee Discount Rebate - Reversal,6.CP co Invoice,exp
Infrastructure Fee - Auto,6.CP co Invoice,exp
Infrastructure Fee - Auto reversal,6.CP co Invoice,exp
Infrastructure Fee - Manual Reversal,6.CP co Invoice,exp
Reversal of Shipping Voucher (by Seller),6.CP co Invoice,exp
Seller Virtual Credit - Co-fund Voucher,7.CP no Invoice,exp
Reverse - Seller Virtual Credit - Co-fund Voucher,7.CP no Invoice,exp
Lazada Funded Commission from Seller Virtual Credit,6.CP co Invoice,exp
Reverse - Lazada Funded Commission from Seller Virtual Credit,6.CP co Invoice,exp
Customer Return Delivery Fee,6.CP co Invoice,exp
Order Processing Fee - Manual Reversal,6.CP co Invoice,exp
Reversal Lazada Subsidy on Item Price,1.Doanh Thu,bt
Product 360 Boost,6.CP co Invoice,exp
Product 360 Boost Rebate,6.CP co Invoice,exp
Seller Virtual Credit-LazCoins Discount Rebate,4.1 LazCoints Discount,bt
Product 360 Boost Refund,6.CP co Invoice,exp
Price Cut Discount,7.CP no Invoice,exp
Product 360 Boost Rebate Reversal,6.CP co Invoice,exp
Reversal of Seller Virtual Credit-LazCoins Discount Rebate,4.1 LazCoints Discount,bt
Seller Virtual Credit - Co-fund Price Cut,7.CP no Invoice,exp
Reversal Price Cut Discount,7.CP no Invoice,exp
Reverse - Seller Virtual Credit - Co-fund Price Cut,7.CP no Invoice,exp
LazCoins Discount-Affiliates Service Fee,4.1 LazCoints Discount,bt
